Key,Hidden Gem Score,IMDb Score,Rotten Tomatoes Score,Metacritic Score
5,1.6,6.1,8.0,29.0
6,2.5,6.8,36.0,48.0
8,3.6,7.5,81.0,62.0
15,4.2,8.3,89.0,78.0
16,3.7,6.3,91.0,70.0
21,2.4,5.8,39.0,49.0
25,3.6,6.8,80.0,69.0
34,3.9,7.4,89.0,69.0
35,3.1,6.5,68.0,52.0
36,2.2,5.0,40.0,45.0
37,2.9,5.3,68.0,53.0
39,3.0,6.1,60.0,61.0
40,1.6,5.1,9.0,34.0
50,4.1,8.0,89.0,74.0
51,2.1,5.6,30.0,38.0
53,2.8,6.6,50.0,54.0
54,4.5,8.1,95.0,96.0
55,5.5,7.4,96.0,77.0
56,4.2,7.5,93.0,82.0
58,3.1,6.2,65.0,57.0
59,2.9,7.3,51.0,48.0
62,2.9,6.3,65.0,44.0
63,4.4,8.3,97.0,83.0
64,4.2,6.3,69.0,50.0
65,2.1,6.1,32.0,34.0
66,3.1,6.6,56.0,63.0
67,2.8,6.4,56.0,48.0
75,2.2,5.9,36.0,38.0
76,3.1,6.7,65.0,55.0
78,4.2,8.5,93.0,75.0
80,4.3,7.4,99.0,83.0
84,4.3,8.3,92.0,84.0
85,4.1,7.3,88.0,83.0
86,2.0,5.8,27.0,34.0
87,2.8,6.6,53.0,51.0
88,3.8,7.2,84.0,69.0
90,3.8,7.0,84.0,71.0
91,3.8,7.0,84.0,71.0
92,2.5,5.8,52.0,37.0
94,2.5,6.1,41.0,47.0
95,2.3,6.1,33.0,46.0
96,3.9,7.6,87.0,73.0
97,3.6,7.0,71.0,78.0
99,7.1,5.9,80.0,56.0
101,2.2,6.2,28.0,40.0
105,4.0,7.7,89.0,76.0
106,2.8,6.6,51.0,53.0
107,2.6,6.1,45.0,49.0
108,2.6,6.2,45.0,48.0
115,4.5,7.9,96.0,97.0
118,2.5,5.6,39.0,53.0
121,2.3,5.0,45.0,43.0
125,2.9,6.2,46.0,55.0
127,2.7,6.8,45.0,48.0
128,4.0,7.6,93.0,72.0
130,6.7,5.9,86.0,66.0
131,2.7,6.2,63.0,36.0
132,1.6,6.1,4.0,28.0
133,2.3,6.1,37.0,41.0
134,3.0,5.6,69.0,53.0
139,5.6,6.0,70.0,56.0
141,2.2,5.8,24.0,49.0
149,3.7,7.1,75.0,77.0
150,3.6,7.1,79.0,64.0
151,3.7,7.0,81.0,72.0
153,1.8,6.5,22.0,19.0
157,2.2,5.6,32.0,42.0
160,3.8,8.2,74.0,72.0
161,4.1,7.5,93.0,78.0
169,3.4,7.4,64.0,63.0
170,5.6,8.4,100.0,90.0
172,2.3,5.6,47.0,38.0
179,1.6,5.9,12.0,25.0
181,4.1,8.3,86.0,77.0
184,2.6,6.4,43.0,47.0
187,4.3,7.5,100.0,82.0
188,2.5,7.2,35.0,43.0
189,2.9,6.7,59.0,50.0
192,1.7,6.5,13.0,21.0
194,4.1,8.0,98.0,65.0
197,3.2,6.8,67.0,55.0
199,7.6,6.6,76.0,78.0
200,4.1,6.9,91.0,84.0
203,2.2,5.8,35.0,41.0
204,1.6,5.3,14.0,28.0
206,2.4,7.0,25.0,47.0
208,2.5,6.4,42.0,45.0
209,3.9,7.2,83.0,76.0
210,1.3,5.0,9.0,20.0
211,1.2,4.7,8.0,17.0
213,4.0,7.4,87.0,81.0
215,3.1,6.1,70.0,58.0
218,6.1,5.4,49.0,58.0
221,3.1,6.9,59.0,56.0
224,5.2,7.3,81.0,65.0
227,2.7,6.5,48.0,51.0
228,4.3,7.7,97.0,83.0
230,2.0,6.4,22.0,34.0
231,2.6,6.6,41.0,48.0
238,1.8,6.1,11.0,36.0
239,4.0,7.7,91.0,70.0
240,3.9,7.7,83.0,72.0
241,3.8,7.1,88.0,71.0
243,3.2,6.6,77.0,51.0
244,2.3,6.1,33.0,44.0
248,4.0,7.5,86.0,76.0
250,3.8,6.8,86.0,73.0
251,8.1,7.3,76.0,70.0
252,1.6,6.3,9.0,26.0
253,1.7,5.2,15.0,35.0
255,3.3,6.8,72.0,60.0
257,2.9,6.5,57.0,50.0
260,4.0,6.9,92.0,76.0
261,3.8,6.7,88.0,75.0
263,4.2,7.5,96.0,82.0
264,2.5,6.5,47.0,38.0
266,3.7,7.2,80.0,68.0
267,4.3,7.3,100.0,83.0
268,4.0,7.5,90.0,73.0
272,4.5,6.9,96.0,79.0
274,3.6,6.8,84.0,67.0
275,4.0,7.6,86.0,77.0
279,4.2,7.6,90.0,88.0
280,2.6,6.2,36.0,59.0
282,3.4,7.4,77.0,54.0
287,6.3,6.0,71.0,55.0
289,4.1,7.9,96.0,69.0
291,1.4,5.9,0.0,26.0
295,3.6,6.9,84.0,65.0
297,3.2,6.3,68.0,61.0
301,5.1,5.7,90.0,68.0
303,3.1,6.5,67.0,57.0
304,2.7,6.4,47.0,51.0
305,2.3,7.4,27.0,35.0
315,3.5,7.2,74.0,65.0
316,2.5,5.3,70.0,29.0
323,1.4,5.1,5.0,25.0
327,3.5,7.0,81.0,61.0
328,4.0,7.0,93.0,75.0
329,3.2,6.1,69.0,62.0
330,3.4,7.8,69.0,55.0
331,3.4,7.8,69.0,55.0
336,2.5,6.4,38.0,47.0
342,2.6,6.9,49.0,37.0
343,2.2,6.4,25.0,45.0
346,2.2,6.5,27.0,40.0
348,1.7,5.1,15.0,36.0
349,2.7,5.7,55.0,49.0
350,1.4,5.3,0.0,28.0
354,4.2,7.7,91.0,83.0
355,3.4,6.8,77.0,62.0
357,2.2,6.2,33.0,37.0
358,3.2,6.6,69.0,56.0
359,6.5,6.3,75.0,49.0
360,6.0,6.1,86.0,59.0
363,4.0,7.0,88.0,79.0
366,1.7,5.3,18.0,30.0
367,1.5,4.8,11.0,33.0
372,4.5,7.4,96.0,84.0
375,2.4,5.7,42.0,44.0
377,6.3,6.1,80.0,66.0
378,2.8,5.9,70.0,42.0
379,3.0,6.3,57.0,59.0
394,4.2,7.7,97.0,78.0
409,1.6,5.2,11.0,30.0
410,3.4,6.3,80.0,62.0
412,1.8,5.6,16.0,39.0
413,1.8,5.6,16.0,39.0
416,2.6,6.2,48.0,49.0
418,3.4,6.8,68.0,65.0
419,3.4,6.8,68.0,65.0
425,3.5,6.6,75.0,67.0
428,4.5,8.4,98.0,89.0
429,3.0,6.2,54.0,63.0
430,1.7,5.6,20.0,29.0
431,4.4,8.3,97.0,84.0
432,4.4,8.3,97.0,84.0
434,1.5,4.7,12.0,29.0
435,6.6,6.9,92.0,64.0
438,4.4,7.8,98.0,87.0
440,7.5,6.1,86.0,70.0
441,1.2,4.8,6.0,17.0
442,2.1,5.9,30.0,34.0
445,2.7,6.8,44.0,50.0
446,1.9,5.9,18.0,38.0
449,2.6,6.3,35.0,57.0
452,2.1,5.4,29.0,43.0
454,4.6,5.6,49.0,54.0
455,6.5,6.2,72.0,59.0
457,7.9,6.1,95.0,63.0
459,3.7,6.8,80.0,72.0
460,7.6,6.6,69.0,70.0
463,3.2,7.1,61.0,60.0
465,4.7,6.1,49.0,55.0
467,7.4,5.6,67.0,42.0
468,1.9,5.4,20.0,40.0
472,3.8,6.5,57.0,52.0
474,2.3,6.4,32.0,42.0
475,2.2,6.0,27.0,44.0
478,1.8,5.2,18.0,36.0
486,1.6,5.0,15.0,33.0
487,3.7,6.8,89.0,64.0
490,3.8,6.9,82.0,78.0
491,8.6,7.4,83.0,78.0
496,4.0,8.3,89.0,69.0
497,3.8,7.0,88.0,68.0
498,2.4,6.2,34.0,45.0
499,4.2,8.3,87.0,84.0
501,7.2,6.1,53.0,40.0
503,4.3,7.4,96.0,86.0
504,3.9,7.8,81.0,76.0
505,4.5,7.4,96.0,97.0
506,1.4,5.0,13.0,23.0
507,3.8,8.5,83.0,62.0
508,3.8,7.0,79.0,80.0
510,4.2,7.2,92.0,90.0
512,3.7,7.2,85.0,65.0
513,2.8,6.3,60.0,46.0
515,2.1,6.1,23.0,43.0
516,3.1,7.0,61.0,58.0
517,2.7,6.4,52.0,43.0
522,3.5,7.6,70.0,64.0
523,2.7,6.7,45.0,49.0
524,3.6,7.3,72.0,72.0
525,2.6,6.1,44.0,50.0
527,2.7,6.3,54.0,43.0
531,2.0,4.8,30.0,42.0
532,4.3,7.8,95.0,85.0
539,5.4,5.8,52.0,54.0
541,4.7,6.4,79.0,68.0
544,3.7,7.0,79.0,75.0
545,6.5,5.5,41.0,52.0
549,2.0,4.8,37.0,37.0
550,1.9,4.7,26.0,40.0
553,3.6,7.2,86.0,61.0
555,2.5,6.1,58.0,33.0
558,3.3,6.3,75.0,61.0
559,3.4,7.2,66.0,63.0
561,7.8,6.9,93.0,77.0
562,1.9,5.8,18.0,38.0
572,2.5,6.4,38.0,45.0
573,3.5,7.3,79.0,61.0
574,3.9,6.4,73.0,47.0
578,2.5,6.7,37.0,48.0
581,2.6,6.3,42.0,52.0
586,4.1,7.5,96.0,77.0
592,2.3,6.6,33.0,40.0
593,3.3,6.0,77.0,63.0
594,3.2,6.6,63.0,63.0
595,2.0,5.4,29.0,37.0
596,2.9,5.9,65.0,53.0
597,3.3,6.5,71.0,62.0
599,1.9,5.3,28.0,33.0
600,2.7,6.6,57.0,39.0
601,3.9,6.8,88.0,79.0
604,2.5,6.1,37.0,54.0
607,1.7,5.9,21.0,23.0
613,4.4,7.0,67.0,57.0
