Title,Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
13,5,"Crime, Drama, Thriller","Thrillers,Gangster Films,Police Thrillers,Police Movies,Crime Thrillers,Crime Movies",English,Movie,1.6,R,6.1,8.0,29.0,2010-03-01
21,6,"Crime, Drama, History, Thriller","Dramas,Dramas based on a book,Police Dramas,Police Movies,Dramas based on contemporary literature,Crime Dramas,Films Based on Books,Crime Films,US Movies",English,Movie,2.5,PG-13,6.8,36.0,48.0,2008-03-28
42,8,"Biography, Drama, Sport","Dramas,Sports Dramas,Biographical Dramas,Social Issue Dramas,Sports Films,Dramas based on real life,Films Based on Real Life",English,Movie,3.6,PG-13,7.5,81.0,62.0,2013-04-12
1917,15,"Drama, Thriller, War","Military Dramas,Dramas,British Movies,Period Pieces","English, French, German",Movie,4.2,R,8.3,89.0,78.0,2020-01-10
1922,16,"Crime, Drama, Horror, Mystery, Thriller","Dramas based on a book,Crime Dramas,Dramas,Crime Thrillers,Scary Halloween Favourites,20th Century Period Pieces,Halloween Favourites,Psychological Thrillers,Thrillers,Period Pieces,Films Based on Books",English,Movie,3.7,TV-MA,6.3,91.0,70.0,2017-10-20
2012,21,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action Thrillers,Sci-Fi Thrillers,Sci-Fi Adventure,Adventures,Action & Adventure","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian, Spanish",Movie,2.4,PG-13,5.8,39.0,49.0,2009-11-13
2021-07-22 00:00:00,25,"Crime, Drama, History, Thriller","Crime Movies,Thrillers,Social Issue Dramas,Crime Thrillers,Films Based on Real Life,Courtroom Dramas,Dramas,Films Based on Books,Crime Dramas","English, Norwegian",Movie,3.6,R,6.8,80.0,69.0,2018-10-10
[REC],34,"Horror, Mystery, Thriller","Horror Films,Spanish Films,International Movies,Zombie Horror Films,Cult Horror Films","Spanish, Japanese",Movie,3.9,R,7.4,89.0,69.0,2007-11-23
[REC] 2,35,"Action, Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Horror Films,International Movies,Spanish Movies",Spanish,Movie,3.1,R,6.5,68.0,52.0,2009-10-02
[Rec] 3: Genesis,36,"Action, Adventure, Fantasy, Horror, Thriller","Horror Films,International Movies,Supernatural Horror Movies,Spanish Movies,Gory Horror Movies","Spanish, Catalan, French",Movie,2.2,R,5.0,40.0,45.0,2012-03-30
[REC] 4: Apocalipsis,37,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller","Horror Films,Spanish Films,International Movies,Zombie Horror Films,Gory Horror Movies",Spanish,Movie,2.9,R,5.3,68.0,53.0,2014-10-31
10 Years,39,"Comedy, Drama, Romance","Independent Films,Dramas,Comedies,Romantic Dramas,Independent Dramas,Independent Comedies,Romantic Independent Films,Romantic Films,Romantic Comedies",English,Movie,3.0,PG-13,6.1,60.0,61.0,2012-10-05
"10,000 B.C.",40,"Action, Adventure, Drama, Fantasy, History","Action Thrillers,Action & Adventure,Adventures,Action Movies",English,Movie,1.6,PG-13,5.1,9.0,34.0,2008-03-07
12 Monkeys,50,"Mystery, Sci-Fi, Thriller","Thrillers,Sci-Fi & Fantasy,Sci-Fi Thrillers,Psychological Thrillers,Cyberpunk,Critically Acclaimed Films,Cult Sci-Fi & Fantasy,Critically-acclaimed Sci-Fi & Fantasy,Golden Globe Award-Winning Films,US Movies,Time Travel Sci-Fi & Fantasy","English, French",Movie,4.1,R,8.0,89.0,74.0,1996-01-05
12 Rounds,51,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure",English,Movie,2.1,PG-13,5.6,30.0,38.0,2009-03-27
