Key,Hidden_Gem_Score,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Title,Release Date,Box_Office_Earnings
6,25.0,68.0,36.0,48.0,21,2008-03-28,81159365.0
8,36.0,75.0,81.0,62.0,42,2013-04-12,95020213.0
15,42.0,83.0,89.0,78.0,1917,2020-01-10,159227644.0
21,24.0,58.0,39.0,49.0,2012,2009-11-13,166112167.0
35,31.0,65.0,68.0,52.0,[REC] 2,2009-10-02,27766.0
36,22.0,50.0,40.0,45.0,[Rec] 3: Genesis,2012-03-30,9600.0
37,29.0,53.0,68.0,53.0,[REC] 4: Apocalipsis,2014-10-31,837.0
39,30.0,61.0,60.0,61.0,10 Years,2012-10-05,203373.0
40,16.0,51.0,9.0,34.0,"10,000 B.C.",2008-03-07,94784201.0
50,41.0,80.0,89.0,74.0,12 Monkeys,1996-01-05,57141459.0
51,21.0,56.0,30.0,38.0,12 Rounds,2009-03-27,12234694.0
53,28.0,66.0,50.0,54.0,12 Strong,2018-01-19,45819713.0
54,45.0,81.0,95.0,96.0,12 Years a Slave,2013-11-08,56671993.0
55,55.0,74.0,96.0,77.0,12:08 East of Bucharest,2006-09-29,91881.0
56,42.0,75.0,93.0,82.0,127 Hours,2011-01-28,18335230.0
58,31.0,62.0,65.0,57.0,13 Going on 30,2004-04-23,57231747.0
59,29.0,73.0,51.0,48.0,13 Hours: The Secret Soldiers of Benghazi,2016-01-15,52853219.0
62,29.0,63.0,65.0,44.0,13 Sins,2014-04-11,13809.0
65,21.0,61.0,32.0,34.0,15 Minutes,2001-03-09,24403552.0
66,31.0,66.0,56.0,63.0,16 Blocks,2006-03-03,36895141.0
67,28.0,64.0,56.0,48.0,17 Again,2009-04-17,64167069.0
75,22.0,59.0,36.0,38.0,2 Fast 2 Furious,2003-06-06,127154901.0
76,31.0,67.0,65.0,55.0,2 Guns,2013-08-02,75612460.0
78,42.0,85.0,93.0,75.0,2 дня,1991-07-03,205881154.0
80,43.0,74.0,99.0,83.0,20 Feet from Stardom,2013-07-26,4946445.0
84,43.0,83.0,92.0,84.0,2001: A Space Odyssey,1968-05-12,60405931.0
85,41.0,73.0,88.0,83.0,20th Century Women,2017-01-20,5664764.0
86,20.0,58.0,27.0,34.0,21 and Over,2013-03-01,25682380.0
87,28.0,66.0,53.0,51.0,21 Bridges,2019-11-22,28539757.0
88,38.0,72.0,84.0,69.0,21 Jump Street,2012-03-16,138447667.0
90,38.0,70.0,84.0,71.0,22 Jump Street,2014-06-13,191719337.0
91,38.0,70.0,84.0,71.0,22 минуты,2014-06-13,191719337.0
94,25.0,61.0,41.0,47.0,27 Dresses,2008-01-18,76808654.0
95,23.0,61.0,33.0,46.0,28 Days,2000-04-14,37170488.0
96,39.0,76.0,87.0,73.0,28 Days Later,2003-06-27,45064915.0
97,36.0,70.0,71.0,78.0,28 Weeks Later,2007-05-11,28638916.0
99,71.0,59.0,80.0,56.0,3 coeurs,2014-09-17,161129.0
101,22.0,62.0,28.0,40.0,3 Days to Kill,2014-02-21,30697999.0
105,40.0,77.0,89.0,76.0,3:10 to Yuma,2007-09-07,53606916.0
106,28.0,66.0,51.0,53.0,30 Days of Night,2007-10-19,39569000.0
107,26.0,61.0,45.0,49.0,30 Minutes or Less,2011-08-12,37053924.0
108,26.0,62.0,45.0,48.0,300: Rise of an Empire,2014-03-07,106580051.0
115,45.0,79.0,96.0,97.0,"4 Months, 3 Weeks and 2 Days",2007-09-14,1198208.0
118,25.0,56.0,39.0,53.0,40 Days and 40 Nights,2002-03-01,37950822.0
121,23.0,50.0,45.0,43.0,47 Meters Down: Uncaged,2019-08-16,22260900.0
125,29.0,62.0,46.0,55.0,5 Flights Up,2015-05-08,1020921.0
127,27.0,68.0,45.0,48.0,50 First Dates,2004-02-13,120908074.0
128,40.0,76.0,93.0,72.0,50/50,2011-09-30,35014192.0
141,22.0,58.0,24.0,49.0,7 Days in Entebbe,2018-03-16,3326885.0
149,37.0,71.0,75.0,77.0,8 Mile,2002-11-08,116750901.0
150,36.0,71.0,79.0,64.0,8 Women,2002-10-04,3098776.0
