Year,GENRE,AVG. Hidden Gem Score,AVG. IMDB Score,AVG. Metacritic Score,AVG. Rotten Tomatoes Score
1928,COMEDY,4.5,8.1,9,9.6
1928,ROMANCE,4.5,8.1,9,9.6
1930,COMEDY,4.1,7.5,7.7,9.6
1930,MUSIC,4.1,7.5,7.7,9.6
1931,COMEDY,4.7,8.5,9.9,9.8
1931,DRAMA,4.7,8.5,9.9,9.8
1931,ROMANCE,4.7,8.5,9.9,9.8
1936,ROMANCE,4.7,8.5,9.6,10
1936,FAMILY,4.7,8.5,9.6,10
1936,DRAMA,4.7,8.5,9.6,10
1936,COMEDY,4.7,8.5,9.6,10
1939,ADVENTURE,4.5,8,9.2,9.8
1939,FAMILY,4.5,8,9.2,9.8
1939,FANTASY,4.5,8,9.2,9.8
1939,MUSIC,4.5,8,9.2,9.8
1940,COMEDY,4.1,7.4,9.9,7.3
1940,DRAMA,4.5,8.1,9.15,9.55
1940,ROMANCE,4.5,8.1,9.15,9.55
1940,FANTASY,4.1,7.4,9.9,7.3
1940,HISTORY,4.5,8.1,9.7,9.1
1940,FAMILY,4.1,7.4,9.9,7.3
1940,WAR,4.5,8.1,9.7,9.1
1940,MYSTERY,4.5,8.1,8.6,10
1940,MUSIC,4.1,7.4,9.9,7.3
1940,THRILLER,4.5,8.1,8.6,10
1943,FAMILY,6.6,7.1,7.8,9.4
1943,ADVENTURE,6.6,7.1,7.8,9.4
1943,DRAMA,6.6,7.1,7.8,9.4
1951,CRIME,4.6,8.2,9.8,9.8
1951,MYSTERY,4.6,8.2,9.8,9.8
1951,DRAMA,4.6,8.2,9.8,9.8
1952,THRILLER,4.4,7.9,8.9,9.7
1952,DRAMA,4.4,7.9,8.9,9.7
1952,WESTERN,4.4,7.9,8.9,9.7
1953,COMEDY,4.2,8,7.8,9.7
1953,ROMANCE,4.2,8,7.8,9.7
1954,MUSIC,3.5,7.6,5.6,7.7
1954,ROMANCE,3.5,7.6,5.6,7.7
1954,COMEDY,3.5,7.6,5.6,7.7
1960,THRILLER,4.6,8.5,9.7,9.6
1960,MYSTERY,4.6,8.5,9.7,9.6
1960,HORROR,4.6,8.5,9.7,9.6
1961,COMEDY,4,7.6,7.6,8.9
1961,DRAMA,4,7.6,7.6,8.9
1961,ROMANCE,4,7.6,7.6,8.9
1962,HISTORY,4.7,8.3,10,9.7
1962,ROMANCE,4.5,7.8,9.7,9.3
1962,BIOGRAPHY,4.7,8.3,10,9.7
1962,DRAMA,4.6,8.05,9.85,9.5
1962,ADVENTURE,4.7,8.3,10,9.7
1962,WAR,4.7,8.3,10,9.7
1963,ADVENTURE,4.4,8.2,8.6,9.4
1963,ROMANCE,7.4,7.3,7.6,8.6
1963,HISTORY,4.4,8.2,8.6,9.4
1963,THRILLER,4.4,8.2,8.6,9.4
1963,WAR,4.4,8.2,8.6,9.4
1963,DRAMA,5.9,7.75,8.1,9
1964,ROMANCE,5,7.65,8.2,9.4
1964,DRAMA,5,7.65,8.2,9.4
1964,MUSIC,4.4,7.8,8.6,9.9
1965,DRAMA,3.9,8,6.9,8.4
1965,COMEDY,3.6,7.3,7.1,7.4
1965,ROMANCE,3.75,7.65,7,7.9
1965,SPORT,3.6,7.3,7.1,7.4
1965,ACTION,3.6,7.3,7.1,7.4
1965,FAMILY,3.6,7.3,7.1,7.4
1965,WAR,3.9,8,6.9,8.4
1965,ADVENTURE,3.6,7.3,7.1,7.4
1965,WESTERN,3.6,7.3,7.1,7.4
1966,ADVENTURE,3.9,7.3,7.5,8.8
1966,DRAMA,3.9,7.7,7.2,8.3
1966,BIOGRAPHY,3.9,7.7,7.2,8.3
1966,WESTERN,3.9,7.3,7.5,8.8
1966,HISTORY,3.9,7.7,7.2,8.3
1966,ACTION,3.9,7.3,7.5,8.8
1967,BIOGRAPHY,4.2,7.8,8.6,8.8
1967,ADVENTURE,3.8,7.7,7.3,7.9
1967,CRIME,4.35,7.95,8.9,9.4
1967,DRAMA,4.28,8,8.22,9.4
1967,ACTION,4.03,7.83,7.47,8.83
1967,WESTERN,4.35,8.4,7.75,9.75
1967,THRILLER,4.3,8.1,8.6,9
1967,WAR,3.8,7.7,7.3,7.9
1968,ROMANCE,4.3,7.4,8.9,9.3
1968,HORROR,4.5,8,9.6,9.6
1968,SCI_FI,4.3,8.3,8.4,9.2
1968,DRAMA,4.4,7.7,9.25,9.45
1968,DOCUMENTARY,8.8,7.3,7.8,9.6
1968,COMEDY,4.3,7.4,8.9,9.3
1968,BIOGRAPHY,4.3,7.4,8.9,9.3
1968,CRIME,4.2,7.4,8.1,9.7
1968,ADVENTURE,4.3,8.3,8.4,9.2
1968,MUSIC,4.3,7.4,8.9,9.3
1968,ACTION,4.2,7.4,8.1,9.7
1968,THRILLER,4.2,7.4,8.1,9.7
1969,WESTERN,4.3,8.5,8,9.5
1969,ADVENTURE,4,7.3,8.5,8.3
1969,DRAMA,4,7.3,8.5,8.3
1970,MUSIC,6.6,7,7,8.9
1970,FANTASY,3.9,5.15,4.65,5.3
1970,ADVENTURE,1.2,3.3,2.3,1.7
1970,DRAMA,5.15,6.95,7.7,7.8
1970,COMEDY,1.2,3.3,2.3,1.7
1970,ROMANCE,5.15,6.95,7.7,7.8
1971,FAMILY,3.85,7.9,6.7,8.65
1971,FANTASY,3.9,7.8,6.7,9
1971,MUSIC,3.85,7.9,6.7,8.65
1971,ACTION,4.3,7.7,9,8.9
1971,THRILLER,4.05,7.2,8.25,8.75
1971,CRIME,4.3,7.7,9,8.9
1971,DRAMA,3.8,7.35,7.1,8.45
1971,ROMANCE,3.8,8,6.7,8.3
1971,SCI_FI,3.8,6.7,7.5,8.6
1972,MYSTERY,5.8,6.9,6.5,8.3
1972,THRILLER,4.95,7.3,7.25,8.6
1972,COMEDY,3.7,6.8,6.6,8.8
1972,CRIME,4.45,8.75,8.85,9.2
1972,SCI_FI,4.1,8.3,7.7,8.6
1972,HORROR,5.8,6.9,6.5,8.3
1972,ADVENTURE,4.1,7.7,8,8.9
1972,DRAMA,4.7,8.03,8.05,8.9
1973,WESTERN,3.5,7.3,5.3,8.6
1973,ACTION,4.2,7.7,8.3,9.4
1973,THRILLER,4.2,7.7,8.3,9.4
1973,HORROR,4.1,8,8.1,8.3
1973,SCI_FI,4.2,7.2,7.7,10
1973,DRAMA,3.88,7.4,7.16,8.74
1973,CRIME,4.2,7.7,8.3,9.4
1973,COMEDY,4.35,7.3,8.7,9.8
1973,BIOGRAPHY,3.5,7.3,5.3,8.6
1974,SPORT,3.5,7.1,6.1,7.9
1974,ACTION,3.3,7,6,6.85
1974,THRILLER,3.37,7.07,6.17,6.93
1974,MYSTERY,3.65,7.25,6.4,8.05
1974,HORROR,3.75,7.35,7.15,8
1974,DRAMA,3.7,7.48,6.68,8.08
1974,CRIME,3.75,7.6,6.63,8.38
1974,COMEDY,3.5,7.1,6.1,7.9
1975,FANTASY,4.5,8.2,9.1,9.7
1975,THRILLER,4.4,8,8.65,9.7
1975,CRIME,4.4,8,8.6,9.6
1975,WAR,4.4,7.7,8.9,10
1975,COMEDY,4.45,7.95,9,9.85
1975,ADVENTURE,4.45,8.1,8.9,9.75
1975,BIOGRAPHY,4.4,8,8.6,9.6
1975,DRAMA,4.4,8,8.6,9.6
1976,MUSIC,2.6,6.2,5.9,3.6
1976,SPORT,4.1,8.1,7,9.4
1976,SCI_FI,3.4,6.4,5.8,8.5
1976,THRILLER,3.6,7.4,6.4,8.1
1976,CRIME,4.05,7.8,7.9,8.85
1976,DRAMA,3.73,7.5,7.43,7.53
1976,HORROR,3.4,6.4,5.8,8.5
1976,ROMANCE,2.6,6.2,5.9,3.6
1977,HISTORY,3.4,7.4,6.3,6.4
1977,MUSIC,3.8,6.8,7.7,8.2
1977,WAR,3.4,7.4,6.3,6.4
1977,DRAMA,3.83,7.27,7.67,8
1977,COMEDY,3.3,7,5,8
1977,ACTION,3.3,7,5,8
1977,HORROR,4.1,7.4,7.9,9.3
1977,SCI_FI,4.3,7.6,9,9.4
1978,ACTION,4.1,7.3,8,9.4
1978,FANTASY,4.2,7.4,8.7,9
1978,MUSIC,3.6,7.2,7,7.5
1978,HORROR,3.77,6.97,7.5,8.13
1978,SCI_FI,4.1,7.3,8,9.4
1978,THRILLER,3.67,7.03,6.57,8.33
1978,DRAMA,4.67,7.03,6.17,8.33
1978,ROMANCE,3.6,7.2,7,7.5
1978,BIOGRAPHY,3.9,7.6,5.9,9.6
1978,COMEDY,6,6.2,4.6,6
1978,CRIME,3.9,7.6,5.9,9.6
1978,ADVENTURE,3.45,6.55,6.55,7.6
1979,SCI_FI,4.5,8.4,8.9,9.8
1979,ACTION,3.9,7.6,6.5,9
1979,THRILLER,3.9,7.6,6.5,9
1979,FANTASY,4,7.7,7.1,9.5
1979,MYSTERY,4.6,8.4,9.4,9.8
1979,FAMILY,4,7.7,7.1,9.5
1979,WAR,4.6,8.4,9.4,9.8
1979,COMEDY,4.2,8.1,7.7,9.5
1979,ADVENTURE,4,7.7,7.1,9.5
1979,SPORT,3.4,7.3,6.1,7.1
1979,DRAMA,4.03,7.83,7.73,8.57
1979,CRIME,3.9,7.6,6.5,9
1979,HORROR,4.5,8.4,8.9,9.8
1980,MUSIC,3.5,7.25,5.9,7.85
1980,FANTASY,2.7,7.2,2.9,6.1
1980,THRILLER,3.2,6.7,4.75,7.7
1980,SCI_FI,3.85,6.3,6.1,7.25
1980,ROMANCE,2.15,6.5,3,3.45
1980,ACTION,3.7,7.4,6.65,8.15
1980,MYSTERY,2.5,6.5,2.2,6.4
1980,ADVENTURE,3,6.87,5.47,5.7
1980,HORROR,3.4,6.87,4.57,6.77
1980,CRIME,3.35,7.35,5.8,7
